PASKIRTIS,TEISĖ,GYVENVIETĖ,ADRESAS,OBJEKTAS,ĮMKODAS,PAVADINIMAS
Kita,Nuosavybės teisė,Vilniaus m.,Gerovės g. 43A  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Taikos g. 4A  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Taikos g. 21A  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Taikos g. 28A  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Taikos g. 42A  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Taikos g. 49A  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Taikos g. 69A  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Taikos g. 86A  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Taikos g. 103A  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Taikos g. 128A  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Taikos g. 129A  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Taikos g. 144A  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Taikos g. 188A  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Taikos g. 193A  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Justiniškių g. 75A  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Šešuolių g. 7A  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Viršuliškių g. 10A  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Viršuliškių g. 71A  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Viršuliškių g. 89A  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Viršuliškių g. 99B  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Papilėnų g. 3A  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Savanorių pr. 222A  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Vaduvos g. 8A  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Gabijos g. 37A  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Gabijos g. 79A  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Žemynos g. 33A  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
