PASKIRTIS,TEISĖ,GYVENVIETĖ,ADRESAS,OBJEKTAS,ĮMKODAS,PAVADINIMAS
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Loretos Asanavičiūtės g. 7  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Loretos Asanavičiūtės g. 7  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Loretos Asanavičiūtės g. 7  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Beržyno g. 7A  ,Ūkio pastatas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Architektų g. 44  ,Namukas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Z. Sierakausko g. 28  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Z. Sierakausko g. 28  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Architektų g. 44  ,Namukas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Z. Sierakausko g. 28  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Architektų g. 44  ,Namukas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Z. Sierakausko g. 28  ,Namukas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Architektų g. 44  ,Namukas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Architektų g. 44  ,Namukas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Architektų g. 44  ,Namukas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Architektų g. 44  ,Namukas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Architektų g. 44  ,Namukas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Architektų g. 44  ,Namukas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Architektų g. 44  ,Namukas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Architektų g. 44  ,Namukas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Architektų g. 44  ,Namukas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Architektų g. 44  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Architektų g. 44  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Architektų g. 44  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Architektų g. 44  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Architektų g. 44  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Architektų g. 44  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Architektų g. 44  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Architektų g. 44  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Architektų g. 44  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Architektų g. 44  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Architektų g. 44  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Architektų g. 44  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kultūros ir švietimo,Savivaldybės nuosavybė,Vilniaus m.,Architektų g. 162  ,Lopšelis-darželis,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Architektų g. 162  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Architektų g. 162  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Architektų g. 162  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Architektų g. 162  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Architektų g. 162  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Architektų g. 162  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Architektų g. 162  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Architektų g. 162  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Architektų g. 162  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Architektų g. 162  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Architektų g. 162  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Architektų g. 162  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,P. Skorinos g. 14  ,Kiemo rūsys,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kultūros,Savivaldybės nuosavybė,Vilniaus m.,Viršuliškių g. 103  ,Mokykla,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gamybos,Savivaldybės nuosavybė,Vilniaus m.,Viršuliškių g. 103  ,Dirbtuvės,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kultūros,Savivaldybės nuosavybė,Vilniaus m.,Viršuliškių g. 103  ,Dirbtuvės,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kultūros,Savivaldybės nuosavybė,Vilniaus m.,Antakalnio g. 108  ,Darželis,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kultūros,Savivaldybės nuosavybė,Vilniaus m.,Antakalnio g. 108  ,Saugaus eismo mokykla,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Garažų,Savivaldybės nuosavybė,Vilniaus m.,Antakalnio g. 108  ,Garažas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Mokslo,Savivaldybės nuosavybė,Vilniaus m.,Vokiečių g. 1  ,Vaikų darželis,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kultūros,Savivaldybės nuosavybė,Vilniaus m.,Šiaulių g. 6  19,Klubas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,M. Daukšos g. 15  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,M. Daukšos g. 15  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,M. Daukšos g. 15  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,M. Daukšos g. 15  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Poilsio,Savivaldybės nuosavybė,Vilniaus m.,Konduktorių g. 4  ,Vaikų ir jaunimo klubas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Architektų g. 210  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Architektų g. 210  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Architektų g. 210  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Architektų g. 210  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Architektų g. 210  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Architektų g. 210  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Architektų g. 210  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Skroblų g. 13  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Skroblų g. 13  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Skroblų g. 13  ,Pavesinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Skroblų g. 13  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Skroblų g. 13  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Skroblų g. 13  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Skroblų g. 13  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Skroblų g. 13  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Skroblų g. 13  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Skroblų g. 13  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Žėručio g. 15  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Žėručio g. 15  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Žėručio g. 15  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Žėručio g. 15  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Žėručio g. 15  ,Ūkio pastatas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Naugarduko g. 7  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Mokslo,Savivaldybės nuosavybė,Vilniaus m.,Sietyno g. 9  ,Lopšelis-darželis,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Mokslo,Savivaldybės nuosavybė,Vilniaus m.,Sietyno g. 9  ,Gimnazija,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Sietyno g. 9  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Sietyno g. 9  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Sietyno g. 9  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Sietyno g. 9  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Sietyno g. 9  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Sietyno g. 9  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Sietyno g. 9  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Povilo Višinskio g. 23  ,Ūkio pastatas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Povilo Višinskio g. 23  ,Kiemo rūsys,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Algimanto Petro Kavoliuko g. 24  121,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,J. Kolaso g. 15  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,J. Kolaso g. 15  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Medininkų g. 10  1,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Belvederio g. 29  3,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Subačiaus g. 41  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Subačiaus g. 41  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Subačiaus g. 41  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Subačiaus g. 41  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Subačiaus g. 41  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Subačiaus g. 41  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Subačiaus g. 41  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Pelesos g. 15  ,Ūkio pastatas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Pelesos g. 15  ,Kiemo rūsys,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Pelesos g. 15  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Pelesos g. 15  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Pelesos g. 15  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Pelesos g. 15  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Pelesos g. 15  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Pelesos g. 15  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Pelesos g. 15  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Dzūkų g. 29  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Dzūkų g. 29  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Dzūkų g. 29  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Dzūkų g. 29  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Dzūkų g. 29  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Dzūkų g. 29  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Dzūkų g. 29  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Negyvenamoji,Savivaldybės nuosavybė,Vilniaus m.,Juodšilių g. 10  ,Vaikų darželis,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Muitinės g. 30  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Muitinės g. 30  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Muitinės g. 30  ,Stofinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Muitinės g. 30  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Muitinės g. 30  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Muitinės g. 30  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Muitinės g. 30  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Muitinės g. 30  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Muitinės g. 30  ,Stoginė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kultūros ir švietimo,Savivaldybės nuosavybė,Vilniaus m.,Vydūno g. 11A  ,Lopšelis - darželis,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Vydūno g. 11A  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Vydūno g. 11A  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Vydūno g. 11A  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Vydūno g. 11A  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Vydūno g. 11A  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Vydūno g. 11A  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Vydūno g. 11A  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Vydūno g. 11A  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Sietyno g. 5  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Sietyno g. 5  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Sietyno g. 5  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Sietyno g. 5  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Sietyno g. 5  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Sietyno g. 5  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Algimanto Petro Kavoliuko g. 12  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Algimanto Petro Kavoliuko g. 12  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Algimanto Petro Kavoliuko g. 12  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Algimanto Petro Kavoliuko g. 12  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Algimanto Petro Kavoliuko g. 12  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Algimanto Petro Kavoliuko g. 12  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Algimanto Petro Kavoliuko g. 12  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Algimanto Petro Kavoliuko g. 12  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Algimanto Petro Kavoliuko g. 12  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Algimanto Petro Kavoliuko g. 12  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Algimanto Petro Kavoliuko g. 12  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Algimanto Petro Kavoliuko g. 12  ,Pavėsinė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Čiobiškio g. 5  41,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Vydūno g. 16  131,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Vydūno g. 16  111,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Gardino g. 10  7,Negyvenamos patalpos,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Vydūno g. 16  112,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Negyvenamoji,Savivaldybės nuosavybė,Vilniaus m.,Naugarduko g. 37  19,Negyvenamos patalpos,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Negyvenamoji,Savivaldybės nuosavybė,Vilniaus m.,Naugarduko g. 37  29,Negyvenamos patalpos,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Kalvarijų g. 78A  20,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
